archivo_imagen,Nombre_mostrado
01_justo_sierra,Instituto Justo Sierra
02_Moises_VG,Moisés Vázquez Gudiño
03_Primera_Convocatoria,Primera convocatoria
04_ITNO,Instituto Tecnológico del Noroeste
05_Maraton_radio,Maratón radiofónico
06_Primera_lic,Primera licenciatura
07_Anuies,Anuies
08_LO,Primera ley orgánica
09_Primera_piedra,La primera piedra
10_Edificio_H,Edificio ache
11_Campus_centro,Campus centro
12_Campus_nainari,Campus náinari
13_Unidad_navojoa,Unidad navojoa
14_Unidad_guaymas,Unidad Guaymas
15_Campus_empalme,Campus Empalme
16_Sociedad_alumnos,Sociedad de alumnos
17_Primera_maestria,Primera maestría
18_rectoria,La rectoría
19_leones,Club de leones
20_directores,Los directores
21_rectores,Los rectores
22_centro_calculo,Centro de cálculo
23_becas,Becas ITSON
24_valores,Valores ITSON
25_murales,Murales ITSON
26_doctorado,Primer doctorado
27_biblioteca,Biblioteca central
28_autonomia,Autonomía universitaria
29_autonomia_plena,Autonomia plena
30_investigacion,Investigación institucional
31_Arteche,Héctor Martínez Arteche
32_teatro,El teatro
33_enfermeria,Escuela de enfermería
34_cd,El consejo directivo
35_potro,El potro
36_cudecc,Cudec
37_torneo,Primer torneo deportivo
38_campana,La campana
39_patronato,El patronato
40_artes,Festival de las artes
41_casaclub,Casa club
42_arena,La arena
43_galeria,Galería de arte
44_futamericano,Fútbol americano
45_escudo,Escudo ITSON
46_sindical,Movimiento sindical
47_comunitaria,Vinculación comunitaria
48_ultgeneracion,Última generación
49_sugente,ITSON y su gente
50_sorteos,Sorteos
51_veterinaria,Veterinaria
52_cyt,Ciencia y tecnología
53_cultura,Cultura
54_deportes,Deportes
